Device,Device,Device,Lens,Lens,Lens,Lens,Camera,Camera,Camera,Camera,Camera,Camera,Network,Base,Cable,Cable,Cable,Cable
Models,Ports,Supplies,Types,Brands,Motorization,Protocols,UseTypes,Types,Brands,ControlLinks,ControlConnectors,Protocols,Types,Types,Models,Uses,Sources,Destinations
CY-CI0,BM SDI In,Power Supply,B4 ENG,Canon,Internal,Sony SE,Specialty,Slow Motion,Adimec,Serial,RJ45,Aja Serial,LAN wired,Fixed,CY-CBL-6P-AJA-01,Camera,Cyan Hirose 6P Male,RS232 Aja
CY-RIO,BM SDI Out,PoE,Cinema,Fujinon,External,Sony SEL,Broadcast,Mini Camera,Aida,IP,USB A-Ethernet,Aida Visca IP,LAN RF,Robotic head,CY-CBL-6P-B4-01,Lens,Battery,Lemo Bradley
CY-RIO-Live,Cyan Serial,,Photo,Sony,None,Sony SELP,Dcinema,PTZ,Aja,WiFi,USB C-Ethernet,Arri CAP,WAN wired,,CY-CBL-6P-B4-02,Robotic head,Cyan Jack,HR10A & TRRS
CY-RCP,Cyan USB-A,,Prime,Other,,Fujinon BoxLens,Studio,Shoulder Camcorder,ARC,,Serial,Arri SSCP,WAN RF,,CY-CBL-6P-BRADLEY,Internal,Cyan 6P,HR25A-9P-20P
CY-RSBM,Ethernet,,Fixed,,,Fujinon PortableLens,,Handheld Camcorder,ARRI,,,Birdog PTZ,RF video,,CY-CBL-6P-CIS-01,Cable,Cyan USB-A,HR10A-7P-6S
Switch,Jack-IO,,Internal,,,Fujinon Cabrio,,Block,AstroDesign,,,BlackMagic IP,WAN video,,CY-CBL-6P-CIS-02,Device Power,WiFi,Mini XLR 3P
Wifi Router,Power 24 V,,Camera integrated,,,Fujinon MK,,DSLR,Bell,,,BlackMagic SDI,,,CY-CBL-6P-CN-REM,Tally,Cyan Ethernet,Cyan Hirose 6P Female
,USB-A,,,,,Fujinon Premista,,System,BirdDog,,,Canon DSLR,,,CY-CBL-6P-DCHIP-01,None,Cyan SDI,Fanout
,,,,,,Canon CN Prime,,Large Sensor,BlackMagic,,,Canon PTZ,,,CY-CBL-6P-DCHIP-02,Cyan Power,None,HR10A-10P-12P & HR25A-9P-20P
,,,,,,Canon CN-R,,Unknown,Bradley,,,Canon RemoteA,,,CY-CBL-6P-DCHIP-03,Tilta,,Fanout & Power
,,,,,,Canon Photo Lens,,,CameraCorps,,,Canon XC,,,CY-CBL-6P-DCM2,,,USB-C
,,,,,,Canon HJ,,,Canon,,,Canon XF605,,,CY-CBL-6P-EXT100,,,External Ethernet
,,,,,,,,,CIS,,,Canon XF705,,,CY-CBL-6P-EXT1000,,,BM-SDI
,,,,,,,,,Cyan,,,DreamChip Serial,,,CY-CBL-6P-EXT300,,,
,,,,,,,,,DreamChip,,,Dreamchip SSM,,,CY-CBL-6P-EXT50,,,
,,,,,,,,,GrassValley,,,Ikegami Serial,,,CY-CBL-6P-EXT500,,,
,,,,,,,,,Haivision,,,JVC IP,,,CY-CBL-6P-FAN100,,,
,,,,,,,,,Hitachi,,,Panasonic BGH1,,,CY-CBL-6P-FAN20,,,
,,,,,,,,,Ikegami,,,Panasonic CX350,,,CY-CBL-6P-FUJI,,,
,,,,,,,,,IOI,,,Panasonic DSLR,,,CY-CBL-6P-FUJI-02,,,
,,,,,,,,,JVC,,,Panasonic EVA1,,,CY-CBL-6P-FUJI-03,,,
,,,,,,,,,Lumens,,,Panasonic P2,,,CY-CBL-6P-IOI,,,
,,,,,,,,,Marshall,,,Panasonic PTZ,,,CY-CBL-6P-LANC-1,,,
,,,,,,,,,MediaEdge,,,Panasonic Varicam,,,CY-CBL-6P-LANC-2,,,
,,,,,,,,,None,,,Panasonic UC,,,CY-CBL-6P-MARS-01,,,
,,,,,,,,,Pacific Corp.,,,Red IP,,,CY-CBL-6P-MARS-02,,,
,,,,,,,,,Panasonic,,,Sony 8-Pin,,,CY-CBL-6P-PAN-10P,,,
,,,,,,,,,RED,,,Sony Burano,,,CY-CBL-6P-PFAN,,,
,,,,,,,,,RoboSHOT,,,Sony CBM,,,CY-CBL-6P-PWR,,,
,,,,,,,,,ROSS,,,Sony DSLR,,,CY-CBL-6P-ST-15,,,
,,,,,,,,,Sony,,,Sony Visca,,,CY-CBL-6P-ST-50,,,
,,,,,,,,,Toshiba,,,Sony FR7,,,CY-CBL-6P-TALLY,,,
,,,,,,,,,VHD,,,Sony FX6,,,CY-CBL-6P-TOSH-01,,,
,,,,,,,,,VisionResearch,,,Sony FX9-XDCA,,,CY-CBL-6P-X3,,,
,,,,,,,,,Yushida,,,Sony FX9-WiFi,,,CY-CBL-ASTRO-01,,,
,,,,,,,,,,,,Sony Lanc,,,CY-CBL-ASTRO-02,,,
,,,,,,,,,,,,Sony PTZ,,,CY-CBL-DTAP,,,
,,,,,,,,,,,,Sony Venice,,,CY-CBL-JACK-GPIO8,,,
,,,,,,,,,,,,Marshall Breakout,,,CY-CBL-SONY-8P-03,,,
,,,,,,,,,,,,Marshall Hirose,,,CY-CBL-TILTA-SERIAL,,,
,,,,,,,,,,,,Marshall PushLock,,,CY-CBL-TILTA-USB,,,
,,,,,,,,,,,,Marshall Ethernet,,,WiFi,,,
,,,,,,,,,,,,Marshall PTZ,,,IP-to-USB-C,,,
,,,,,,,,,,,,Hitachi SH HD 1xxx,,,USB-A-to-USB-C,,,
,,,,,,,,,,,,CIS HR10A & TRRS,,,Ethernet-RJ45,,,
,,,,,,,,,,,,CIS HR10A,,,BM-SDI,,,
,,,,,,,,,,,,VISCA IP,,,JVC USB-to-IP,,,
,,,,,,,,,,,,Not controllable,,,XDCA back,,,
,,,,,,,,,,,,Not compatible,,,None,,,
,,,,,,,,,,,,Not evaluated,,,,,,
,,,,,,,,,,,,Not still documented,,,,,,