Instance,Reference,Protocol,Brand,LensMount,Type,Cable,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes,Camera_id,Device,Device_id,Switch_id,RCP_id,Camgroup,RCPtype,Fanout,LensCable,MotorCable,LensMotor
ATOMONE_0,AtomOne,DreamChip Serial,DreamChip,S-Mount,Minicam Motorizable,CY-CBL-6P-DCHIP-02,500.0,5.0,,2,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,ATOMONE_0,ci0,CI0_0,Minicam Motorizable Switch,CY-RCP-QUATTRO_0,Minicam Motorizable,RCP,1,No cable,No cable,No motor
ATOMONE_1,AtomOne,DreamChip Serial,DreamChip,S-Mount,Minicam Motorizable,CY-CBL-6P-DCHIP-02,500.0,5.0,,2,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,ATOMONE_1,ci0,CI0_0,Minicam Motorizable Switch,CY-RCP-QUATTRO_0,Minicam Motorizable,RCP,1,No cable,No cable,No motor
ATOMONE MINI ZOOM_0,AtomOne mini Zoom,DreamChip Serial,DreamChip,No-Xchange-Motorized,Minicam Motorizable,CY-CBL-6P-DCHIP-02,500.0,5.0,,2,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,ATOMONE MINI ZOOM_0,ci0,CI0_1,Minicam Motorizable Switch,CY-RCP-QUATTRO_0,Minicam Motorizable,RCP,1,No cable,No cable,No motor
ATOMONE MINI ZOOM_1,AtomOne mini Zoom,DreamChip Serial,DreamChip,No-Xchange-Motorized,Minicam Motorizable,CY-CBL-6P-DCHIP-02,500.0,5.0,,2,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,ATOMONE MINI ZOOM_1,ci0,CI0_1,Minicam Motorizable Switch,CY-RCP-QUATTRO_0,Minicam Motorizable,RCP,1,No cable,No cable,No motor
JVC GY-HM850_0,JVC,JVC IP,JVC,No-Xchange-Motorized,Handheld Camcorder,JVC USB-to-IP,500.0,2.0,,1,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,JVC GY-HM850_0,ip,IP_0,Handheld Camcorder Switch,CY-RCP-DUO-J_0,Handheld Camcorder,RCP-DUO-J,1,No cable,No cable,No motor
AW-HE130_0,AWHE130,Panasonic PTZ,Panasonic,No-Xchange-Motorized,PTZ,Ethernet-RJ45,500.0,2.0,,3,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,AW-HE130_0,ip,IP_1,PTZ Switch,CY-RCP-QUATTRO-J_0,PTZ,RCP-J,1,No cable,No cable,No motor
AW-HE130_1,AWHE130,Panasonic PTZ,Panasonic,No-Xchange-Motorized,PTZ,Ethernet-RJ45,500.0,2.0,,3,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,AW-HE130_1,ip,IP_1,PTZ Switch,CY-RCP-QUATTRO-J_0,PTZ,RCP-J,1,No cable,No cable,No motor
AW-HE130_2,AWHE130,Panasonic PTZ,Panasonic,No-Xchange-Motorized,PTZ,Ethernet-RJ45,500.0,2.0,,3,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,AW-HE130_2,ip,IP_1,PTZ Switch,CY-RCP-QUATTRO-J_0,PTZ,RCP-J,1,No cable,No cable,No motor
BRC-X400_0,BRCX400,Sony PTZ,Sony,No-Xchange-Motorized,PTZ,Ethernet-RJ45,500.0,5.0,,1,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,,BRC-X400_0,ip,IP_1,PTZ Switch,CY-RCP-QUATTRO-J_0,PTZ,RCP-J,1,No cable,No cable,No motor
AU-EVA1_0,EVA1,Panasonic EVA1,Panasonic,LNE-Mount,CineStyle,Ethernet-RJ45,500.0,2.0,,2,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,AU-EVA1_0,ip,IP_2,CineStyle Switch,CY-RCP-DUO-J_1,CineStyle,RCP-DUO-J,1,No cable,No cable,No motor
AU-EVA1_1,EVA1,Panasonic EVA1,Panasonic,LNE-Mount,CineStyle,Ethernet-RJ45,500.0,2.0,,2,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,AU-EVA1_1,ip,IP_2,CineStyle Switch,CY-RCP-DUO-J_2,CineStyle,RCP-DUO-J,1,No cable,No cable,No motor
BGH1_0,BGH1,Panasonic BGH1,Panasonic,MFT-Mount,Mirrorless,Ethernet-RJ45,500.0,2.0,,1,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,BGH1_0,ip,IP_3,Mirrorless Switch,CY-RCP-DUO-J_6,Mirrorless,RCP-DUO-J,1,No cable,No cable,No motor
BURANO_0,SonyBurano,Sony Burano,Sony,PL-Mount,CineStyle,Ethernet-RJ45,500.0,2.0,,1,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,BURANO_0,ip,IP_2,CineStyle Switch,CY-RCP-DUO-J_3,CineStyle,RCP-DUO-J,1,No cable,No cable,No motor
FX9-XDCA_0,PXW-FX9+XDCA,Sony FX9-XDCA,Sony,E-Mount,CineStyle,XDCA back,500.0,5.0,,2,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,FX9-XDCA_0,ip,IP_2,CineStyle Switch,CY-RCP-DUO-J_4,CineStyle,RCP-DUO-J,1,No cable,No cable,No motor
FX9-XDCA_1,PXW-FX9+XDCA,Sony FX9-XDCA,Sony,E-Mount,CineStyle,XDCA back,500.0,5.0,,2,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,FX9-XDCA_1,ip,IP_2,CineStyle Switch,CY-RCP-DUO-J_5,CineStyle,RCP-DUO-J,1,No cable,No cable,No motor
ALPHA_0,Alpha SonyMirrorless,Sony Mirrorless,Sony,E-Mount,Mirrorless,USB-A-to-USB-C,500.0,2.0,,1,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,,ALPHA_0,ip,IP_3,Mirrorless Switch,CY-RCP-DUO-J_7,Mirrorless,RCP-DUO-J,1,No cable,No cable,No motor
VARICAM_0,Varicam,Panasonic Varicam,Panasonic,B4-Mount,Shoulder Camcorder,Ethernet-RJ45,500.0,2.0,,1,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,,VARICAM_0,ip,IP_4,Shoulder Camcorder Switch,CY-RCP-DUO-J_8,Shoulder Camcorder,RCP-DUO-J,1,No cable,No cable,No motor
FCB-8230_0,FCB-8230,Sony Visca,Sony,No-Xchange-Motorized,BBlock,CY-CBL-6P-FAN100,500.0,2.0,,2,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,,FCB-8230_0,ci0,CI0_3,BBlock Switch,CY-RCP-DUO-J_10,BBlock,RCP-DUO-J,1,No cable,No cable,No motor
FCB-8230_1,FCB-8230,Sony Visca,Sony,No-Xchange-Motorized,BBlock,CY-CBL-6P-FAN100,500.0,2.0,,2,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,,FCB-8230_1,ci0,CI0_3,BBlock Switch,CY-RCP-DUO-J_11,BBlock,RCP-DUO-J,1,No cable,No cable,No motor
PXW-500_0,PXW-X500,Sony 8-Pin,Sony,B4-Mount,Shoulder Camcorder,CY-CBL-SONY-8P-03,500.0,2.0,,1,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,,PXW-500_0,ci0,CI0_2,Shoulder Camcorder Switch,CY-RCP-DUO-J_9,Shoulder Camcorder,RCP-DUO-J,1,No cable,No cable,No motor
