Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base
TMX74,Adimec,Not still documented,Adimec,Unknown,https://www.adimec.com/cameras/global-security/tmx-cmos-cameras/tmx74/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
GEN3G-200,AidaGen3G200,Not still documented,Aida,No-Xchange-Manual,https://aidaimaging.com/gen3g-200/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
HD NDI 200,AidaHdNdi200,Not still documented,Aida,No-Xchange-Manual,https://aidaimaging.com/hd-ndi-200/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
PTZ X12,AidaPtzX12,Not still documented,Aida,No-Xchange-Motorized,https://aidaimaging.com/hd-ndi-200/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
UHD6G-200,AidaUHD6G200,Not still documented,Aida,No-Xchange-Manual,https://aidaimaging.com/uhd6g-200/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
ROVOCAM,Rovocam,Aja Serial,Aja,B4-Mount,https://www.aja.com/products/rovocam/spec-sheet.pdf,,BBlock,CY-CBL-6P-AJA-01,https://support.cyanview.com/docs/Integrations/AJA/RovoCam,,1000.0,2.0,,False,0,Fixed,LAN Wired,Fixed
ARC360,Arc360,Not still documented,ARC,B4-Mount,https://www.agileremotecameras.com/products/arc360-ptz-camera/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
ALEXA 35,Alexa 35,Arri CAP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/alexa-35,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
ALEXA MINI,Alexa mini,Arri CAP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/legacy-camera-systems/alexa-mini,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
ALEXA MINI LF,Alexa mini LF,Arri CAP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/alexa-mini-lf,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRICAP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
AMIRA,Amira,Arri SSCP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/amira,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRISSCP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
AC4829,Astro4829,Not still documented,AstroDesign,PL-Mount,https://www.astrodesign.co.jp/english/product/ab-4830_ac-4829,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
DRIVER'S EYE,BellDriversEye,Not still documented,Bell,Unknown,https://bellracing.eu/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
P100,BirdDogP100,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p100-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
P200,BirdDogP200,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p200-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
P400,BirdDogP400,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p400-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
P4K,BirdDogP4K,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p4k-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
MINI STUDIO,Mini Studio,BlackMagic SDI,BlackMagic,MFT-Mount,https://www.blackmagicdesign.com/fr/products/blackmagicmicrostudiocamera,,CineStyle,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500.0,2.0,No,False,0,Fixed,LAN Wired,Fixed
MINI STUDIO G2,Mini Studio G2,BlackMagic IP,BlackMagic,MFT-Mount,https://www.blackmagicdesign.com/fr/products/blackmagicmicrostudiocamera,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
URSA,URSA,BlackMagic SDI,BlackMagic,B4-Mount,https://www.blackmagicdesign.com/products/blackmagicursabroadcast,,CineStyle,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500.0,2.0,No,False,0,Fixed,LAN Wired,Fixed
URSA G2,URSA G2,BlackMagic IP,BlackMagic,B4-Mount,https://www.blackmagicdesign.com/products/blackmagicursabroadcast,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
CAMBALL,Camball,Not still documented,Bradley,Unknown,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
CAMBALL/IP,CamballIp,Not still documented,Bradley,Unknown,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MEERKAT,Meerkat,Not still documented,CameraCorps,Unknown,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
QBALL,CCQBall,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/qx/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
QX,CCQx,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/qx-com-cam-system/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
QX MINIZOOM,CCQxMinizoom,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/hd-mini-zoom/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
C100,EOS C100,Canon RemoteA,Canon,EF-Mount,https://mcu.usa.canon.com/internet/portal/us/home/products/details/cameras/cinema-eos/eos-c100-mark-ii,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
C200,C200,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
C300MK1,C300mk1,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
C300MK2,C300mk2,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
C300MK3,C300mk3,Canon XC,Canon,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed
C500MK1,C500mk1,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
C500MK2,C500mk2,Canon XC,Canon,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed
C70,C70,Canon XC,Canon,RF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed
C700,C700,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
XF605,CanonXF605,Canon XC,Canon,No-Xchange-Motorized,https://fr.canon.be/video-cameras/xf605/ ,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed
XF705,CanonXF705,Canon RemoteA,Canon,No-Xchange-Motorized,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
R5,CanonR5,Canon Mirrorless,Canon,EF-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Canon/CanonMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
CR-N300,CanonCRN300,Canon PTZ,Canon,No-Xchange-Motorized,https://www.canon.fr/ptz-cameras/cr-n300/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
CR-N500,CanonCRN500,Canon PTZ,Canon,No-Xchange-Motorized,https://www.canon.fr/ptz-cameras/cr-n500/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
CR-N700,CanonCRN700,Canon PTZ,Canon,No-Xchange-Motorized,https://www.canon.fr/ptz-cameras/cr-n700/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
CR-X500,CanonCRX500,Canon PTZ,Canon,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
VCC-HD1,CISHD1,CIS HR10A,CIS,S-Mount,,,Mini Camera,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
VCC-HD10ZM,CISHD10ZM,CIS HR10A,CIS,S-Mount,,,Mini Camera,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
VCC-HD1X,CIS,CIS HR10A,CIS,S-Mount,,,Mini Camera,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
VCC-HD3,CISHD3,CIS HR10A,CIS,S-Mount,,,Mini Camera,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE,AtomOne,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE MINI,AtomOne mini,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE MINI ZOOM,AtomOne mini Zoom,DreamChip Serial,DreamChip,No-Xchange-Motorized,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE MINI AIR,AtomOne mini AIR,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE MINI WATERPROOF,AtomOne mini Waterproof,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE 4K MINI 7,AtomOne 4K Mini 7,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE 4K MINI 11,AtomOne 4K Mini 11,DreamChip Serial,DreamChip,C-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE 4K MINI 16,AtomOne 4K Mini 16,DreamChip Serial,DreamChip,C-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE SSM500,AtomOne SSM500,Dreamchip SSM,DreamChip,B4-Mount,https://www.atom-one.de,,Slow Motion,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE SSM500 B4,AtomOne SSM500 B4,Dreamchip SSM,DreamChip,C-Mount,https://www.atom-one.de,,Slow Motion,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE SSM500-IP,AtomOne SSM500-IP,Dreamchip SSM IP,DreamChip,B4-Mount,https://www.atom-one.de,,Slow Motion,Ethernet-RJ45,Planned to be documented  202407,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
ATOMONE SSM500-IP B4,AtomOne SSM500-IP B4,Dreamchip SSM IP,DreamChip,C-Mount,https://www.atom-one.de,,Slow Motion,Ethernet-RJ45,Planned to be documented  202407,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
LDK SERIES,GrassValley,Not still documented,GrassValley,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MOJOPRO,MojoPro,Not still documented,Haivision,No-Xchange-Manual,https://www.haivision.com/products/mojopro-mobile-journalism/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
HITACHI SK-HD1000,Hitachi SK-HD1000,Hitachi SH HD 1xxx,Hitachi,B4-Mount,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1000.html,,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
HITACHI SK-HD1300,Hitachi SK-HD1300,Hitachi SH HD 1xxx,Hitachi,B4-Mount,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1300.html,,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
HITACHI SK-HD1500,Hitachi SK-HD1500,Hitachi SH HD 1xxx,Hitachi,B4-Mount,https://www.gravitymedia.com/product/hitachi-sk-hd1500-hd-slow-motion-production-camera/,,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
DK SERIES,HitachiDKIP,Not still documented,Hitachi,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
DK SERIES (SERIAL),HitachiDKSerial,Not still documented,Hitachi,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
SK HD SERIES,HitachiSKHDIP,Not still documented,Hitachi,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
SK HD SERIES (SERIAL),HitachiSKHDSerial,Not still documented,Hitachi,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
SK UHD SERIES,HitachiSKUHDIP,Not still documented,Hitachi,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
SK UHD SERIES (SERIAL),HitachiSKUHDSerial,Not still documented,Hitachi,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
ICCP,Ikegami,Not still documented,Ikegami,B4-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
2KMINI,V2KMini,Not still documented,IOI,C-Mount,https://www.ioindustries.com/2ksdi-mini-features,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
2KMINIRS,V2KMiniRS,Not still documented,IOI,C-Mount,https://www.ioindustries.com/2ksdi-mini-features,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
4KMINI,V4KMini,Not still documented,IOI,C-Mount,https://www.ioindustries.com/4ksdi-mini-features,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
4KMINIRS,V4KMiniRS,Not still documented,IOI,C-Mount,https://www.ioindustries.com/4ksdi-mini-features,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
8KSDI,V8KSDI,Not still documented,IOI,C-Mount,https://www.ioindustries.com/8ksdi-features,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
JVC GY-HM850,JVC,JVC IP,JVC,No-Xchange-Motorized,https://fr.jvc.com/pro/ccr/eng/GY-HM850RE/,,Handheld Camcorder,JVC USB-to-IP,https://support.cyanview.com/docs/Integrations/JVC/JVCCamcorder,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
VC-A SERIES,Lumens,Not still documented,Lumens,No-Xchange-Motorized,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
VC-A71,LumensVCA71PN,Not still documented,Lumens,No-Xchange-Motorized,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
VC-BC 601,LumensVCBC601P,Not still documented,Lumens,No-Xchange-Motorized,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
VC-BC 701,LumensVCBC701P,Not still documented,Lumens,No-Xchange-Motorized,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
CV225,MarshallCV225,Marshall Breakout,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV225-MB.php,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV226,MarshallCV226,Marshall Breakout,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV226.php,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV345,MarshallCV345,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV345.php,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV355-10X,MarshallCV35510X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV355-30X,MarshallCV35530X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV366,MarshallCV366,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV366/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV368,MarshallCV368,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV368/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV370,MarshallCV370,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV370/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV374,MarshallCV374,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV374/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV420,MarshallCV420,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV420-30X/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV500,MarshallCV500,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV500-MB.php,,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV502,MarshallCV502,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV502-MB.php,,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV503,MarshallCV503,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv503/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV504,MarshallCV504,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV504/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV506,MarshallCV506,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv506/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV530,MarshallCV530,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV503.php,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV566,MarshallCV566,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV566/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV568,MarshallCV568,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV568/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV570,MarshallCV570,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV570/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV574,MarshallCV574,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV574/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
